"today";"Skip origin?";"datetime";"Voucher ID #";"Time of truck arrival estimate?";"How full is the skip on arrival?";"day skip delivered at compost facility";"predominant type of inorganic waste in the skip?";"day skip sorted and trash volume measurements recorded?";"Todays date and time";"Volume of inorganic waste in the skip";"Total trash volume in the skip";"Is market stakeholder (market master or cleaner) present to verify quality measurements?";"amount of money paid to market stakeholder?";"Any other observation?";"The end";"__version__";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-07-01";"Naizi market";"2021-06-28T09:58:00.000+02:00";"20";"2021-06-28T15:00:00.000+02:00";"7";"Monday";"Banana leaves";"Wednesday";"2021-06-30T10:03:00.000+02:00";"22.0";"770";"no";"0";"";"";"vKSggZdVZ4uQqhyS8ouSNe";"190025226";"7778e254-19ee-4735-ab18-a5eb8ac336d4";"2021-07-01T08:20:15";"";"";"submitted_via_web";"";"";"1"
"2021-06-06";"Bangwe market";"2021-06-07T14:25:00.000+02:00";"4";"2021-06-06T07:35:00.000+02:00";"7";"Sunday";"Surgarcane remains";"Thursday";"2021-06-10T14:07:00.000+02:00";"19";"665";"no";"33000";"";"";"";"184372720";"4141aa51-2950-4231-b945-675af659729d";"2021-06-11T07:19:45";"";"";"submitted_via_web";"";"";"2"
"2021-08-02";"Naizi market";"2021-08-02T14:24:00.000+02:00";"33";"2021-08-03T11:30:00.000+02:00";"7";"Tuesday";"Surgarcane remains";"Tuesday";"2021-08-03T18:23:00.000+02:00";"20.0";"700";"no";"0";"";"";"vKSggZdVZ4uQqhyS8ouSNe";"198864497";"47696465-7598-440e-81de-12376d72ec1d";"2021-08-05T06:14:17";"";"";"submitted_via_web";"";"";"3"
"2021-08-30";"Naizi market";"2021-08-30T09:25:00.000+02:00";"40";"2021-08-30T12:20:00.000+02:00";"7";"Tuesday";"Market waste";"Tuesday";"2021-08-31T16:33:00.000+02:00";"21.0";"735";"no";"0";"";"";"vKSggZdVZ4uQqhyS8ouSNe";"211217515";"a2a54396-4f9a-437f-9076-0188cf371652";"2021-09-06T07:56:19";"";"";"submitted_via_web";"";"";"4"
"2021-09-15";"Naizi market";"2021-09-14T10:14:00.000+02:00";"49";"2021-09-14T15:15:00.000+02:00";"7";"Tuesday";"Mixed market waste";"";"2021-09-15T15:58:00.000+02:00";"19.0";"665";"no";"0";"";"";"vKSggZdVZ4uQqhyS8ouSNe";"214380036";"ffaca8ec-f75b-470b-91a4-c89e934cba7b";"2021-09-15T14:15:03";"";"";"submitted_via_web";"";"";"5"
"2021-12-14";"Naizi market";"2021-12-10T07:50:00.000+02:00";"65";"2021-12-12T08:49:00.000+02:00";"7";"Sunday";"Banana leaves";"Monday";"2021-12-14T08:52:00.000+02:00";"22.0";"770";"no";"0";"";"";"vKSggZdVZ4uQqhyS8ouSNe";"241601591";"f5f83ced-7f22-4c61-9fc2-cda23ac32ab3";"2021-12-14T07:09:26";"";"";"submitted_via_web";"";"";"6"
"2021-12-14";"Naizi market";"2021-12-10T07:50:00.000+02:00";"63";"2021-12-10T17:10:00.000+02:00";"7";"Friday";"Mixed waste";"Monday";"2021-12-14T08:59:00.000+02:00";"24.0";"840";"no";"0";"";"";"vKSggZdVZ4uQqhyS8ouSNe";"241601592";"5842afa7-c31b-4d8b-9d28-9eb214120173";"2021-12-14T07:09:26";"";"";"submitted_via_web";"";"";"7"
