"today";"Skip origin?";"datetime";"Voucher ID #";"Time of truck arrival estimate?";"How full is the skip on arrival?";"day skip delivered at compost facility";"predominant type of inorganic waste in the skip?";"day skip sorted and trash volume measurements recorded?";"Todays date and time";"Volume of inorganic waste in the skip";"Total trash volume in the skip";"Is market stakeholder (market master or cleaner) present to verify quality measurements?";"amount of money paid to market stakeholder?";"Any other observation?";"The end";"__version__";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-06-12";"BCA market";"2021-06-12T14:22:00.000+02:00";"11";"2021-06-14T12:03:00.000+02:00";"7";"Monday";"Surgarcane remains";"Monday";"2021-06-14T19:04:00.000+02:00";"4";"140";"no";"0";"";"";"";"185942776";"e83d9d02-0cf1-4846-b093-b7d69ade3d3e";"2021-06-17T06:38:18";"";"";"submitted_via_web";"";"";"1"
"2021-07-01";"BCA market";"2021-07-01T09:07:00.000+02:00";"22";"2021-07-01T16:08:00.000+02:00";"7";"Thursday";"Mixed waste";"Thursday";"2021-07-02T09:08:00.000+02:00";"40.0";"1400";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"191878811";"0c6945a5-ac4d-4de3-87c2-966784d06496";"2021-07-08T10:39:04";"";"";"submitted_via_web";"";"";"2"
"2021-08-03";"BCA market";"2021-08-03T09:36:00.000+02:00";"35";"2021-08-03T13:35:00.000+02:00";"7";"Tuesday";"Maize leaves";"Tuesday";"2021-08-03T18:19:00.000+02:00";"17.0";"595";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"198864501";"3d0d9659-608d-4f14-bb35-996d37382448";"2021-08-05T06:14:18";"";"";"submitted_via_web";"";"";"3"
"2021-08-11";"BCA market";"2021-08-11T09:28:00.000+02:00";"39";"2021-08-11T12:21:00.000+02:00";"7";"Wednesday";"";"Wednesday";"2021-08-11T15:27:00.000+02:00";"16.0";"560";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"206065867";"27033b68-4930-471c-b920-96ef14de140e";"2021-08-23T10:40:16";"";"";"submitted_via_web";"";"";"4"
"2021-08-20";"BCA market";"2021-08-20T10:22:00.000+02:00";"29";"2021-08-20T13:30:00.000+02:00";"7";"Friday";"Mixed market waste";"";"";"20.0";"700";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"206065929";"e4ae3938-99e9-49ad-ae62-d48fad363b01";"2021-08-23T10:40:20";"";"";"submitted_via_web";"";"";"5"
"2021-09-07";"BCA market";"2021-09-03T10:13:00.000+02:00";"44";"2021-09-03T15:13:00.000+02:00";"7";"Friday";"Mixed market waste";"Friday";"2021-09-07T10:14:00.000+02:00";"28.0";"980";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"211636189";"8dae21b4-b774-4979-8e5a-93a0220a32f0";"2021-09-07T10:28:23";"";"";"submitted_via_web";"";"";"6"
"2021-09-15";"BCA market";"2021-09-14T04:10:00.000+02:00";"50";"2021-09-15T07:30:00.000+02:00";"7";"Wednesday";"Mixed waste";"Wednesday";"2021-09-15T16:14:00.000+02:00";"15.0";"525";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"214380090";"1956358a-ad32-4b58-837e-7e57ae421697";"2021-09-15T14:15:10";"";"";"submitted_via_web";"";"";"7"
"2021-12-14";"BCA market";"2021-10-20T08:39:00.000+02:00";"58";"2021-10-23T08:39:00.000+02:00";"7";"Saturday";"Mixed waste";"Monday";"2021-12-14T08:41:00.000+02:00";"32.0";"1120";"no";"0";"";"";"v8CMwvavG5RwuJBUc2VSYu";"241601584";"2183267e-6a0e-4e59-8146-c7754673984a";"2021-12-14T07:09:25";"";"";"submitted_via_web";"";"";"8"
